Speaker,line,v,a,d
Kamala Harris,"I also want to thank the other champions for reproductive freedom who are here, Secretary Xavier Becerra, who is here. Congresswoman Alma Adams. Congressman Jeff Jackson, who tells a real good story. North Carolina Attorney General Josh Stein. And Ethel Isaacs Williams, the national president of The Links, Incorporated.",0.7062142857142856,0.4620000000000001,0.6804285714285714
Kamala Harris,"We are here today because one year ago today, the United States Supreme Court, the highest court in our land, General Stein, the court of Thurgood, the court of RBG, took a constitutional right that had been recognized From the people of America, from the women of America, a fundamental right, a basic freedom. And I know most of us here remember where we were on that day a year ago when the court decided Dobbs, June 24th, 2022. I was actually on my way traveling from Washington, DC to a maternal health event in Illinois when I heard the news. Outraged, I called my husband, Doug, because there were a collection of words that were coming to mind that would not have been proper for me to speak with some other people. And together he and I talked, we talked about our daughter, we talked about my goddaughters, about my niece and her daughters. And I couldn’t help but think that their generation would have fewer rights than my generation or my mother’s generation. And so the three words that came to me that I publicly spoke were, “How dare they? How dare they? How dare they?” How dare they attack basic healthcare? How dare they attack our fundamental rights? How dare they attack our freedom? And sadly, one year ago, we accurately predicted what would happen in a world without Roe. We knew this decision would create a healthcare crisis in America. We knew that old abortion bans would immediately go back into effect, one which was written in 1849. Now, check this out, 1849. 1849, before women had the right to vote, 1849, before the elevator, the telephone, and even the light bulb had been invented. And now we know in the midst of this healthcare crisis, extremists, so- called leaders in states across our nation have proposed or passed more than 350 new laws to restrict these freedoms and the right to have access to reproductive healthcare. Right now in our country, 23 million women of reproductive age live in a state with an extreme abortion ban in effect. 23 million women, which means right now in our country, 1 in 3 women of reproductive age live in a state with a ban. States like Arizona, Florida, Georgia, Texas, and Wisconsin. Some with no exceptions even for survivors of the crimes of rape and incest.",0.6281363636363635,0.4765454545454546,0.5932363636363637
Kamala Harris,"Now, many of you know, I started my career as a prosecutor intent on protecting, in particular women and children who were the subject and survivors of violence. It’s immoral that so-called leaders would not understand and have some compassion for what those exceptions should be. Some of the laws are banning at or before six weeks, the right to have an access to have an abortion.",0.6323125,0.4236875,0.546125
Kamala Harris,"Now, what most of us here know is that many women don’t even know they are pregnant at six weeks, which by the way, tells us most of these politicians don’t even understand how a woman’s body actually works. They don’t get it. They don’t get it. And next week, overruling the will of the people, North Carolina will be the latest state with an extreme ban in spite of the best efforts of Governor Roy Cooper. And so, over the past 365 days, the women",0.5790000000000001,0.4720555555555557,0.595111111111111
Kamala Harris,"I know these stories are so hard to hear, so difficult to tell, but we cannot in our nation, allow people to silently suffer without telling their stories in a way that hopefully understands the importance of uplifting their voices in support and in love, and with a sense of empathy and agreement that they shouldn’t have to have those kinds of experiences.",0.6146470588235294,0.47017647058823536,0.5602941176470588
Kamala Harris,"And Anya’s here today with her husband Derek. I want to thank you for telling your story. I talked with Anya and Derek. My husband and I talked with them before we all came out. And I’ll say it to you in front of all the friends, what we talked about backstage if you don’t mind, which is you are a loving couple and you have the great blessing of having that support in your family, and in spite of the pain that you have personally experienced, the kind of courage you have shown to be a voice for so many people who can’t be here or feel alone, is so important. And we thank you for your courage and we thank you for your leadership.",0.7354642857142856,0.45639285714285716,0.5931785714285714
Kamala Harris,"And I guess the point of this is that this should not be the subject of some political discourse. These are, we’re talking about real people every day in our country. Real people every day who are being subjected to judgment, being made to feel as though they should be silent. We can’t stand for that. We can’t tolerate that. It’s just not right.",0.6196875000000001,0.40275,0.53375
Kamala Harris,"Over these past 365 days, doctors and nurses have also experienced this chaos and confusion and fear. They are not only afraid to lose their medical license, which they might. These medical professionals, people who have dedicated themselves to the care of perfect strangers, have told me that they fear being prosecuted and going to jail. And be clear, in Texas and Alabama, doctors and nurses could go to prison for life. Can you imagine someone passing a law saying life imprisonment for a healthcare provider, doing what in their medical judgment is the right thing to do? In these past 365 days, extreme laws creating chaos and confusion and fear, laws that have also impaired access to other basic women’s healthcare issues. Because you understand, everybody here knows reproductive care clinics have been forced to close. Those clinics that offer routine checkups for so many people in the community. Trusted by the community. They offer referrals from mammograms and other cancer screenings. The impact to women’s health issues broadly, is very real.",0.5254509803921569,0.4997254901960784,0.5214313725490196
Kamala Harris,"So one year after the Dobbs decision, we have also seen many women question whether they can even move to any of these states that are passing these extreme laws. They’re asking their friends, their families, should I consider going to that state when deciding where to go to school, where to take a job, where to raise a family?",0.6082307692307692,0.4485384615384615,0.5369999999999999
Kamala Harris,"And North Carolina, please let us do note the hypocrisy at play with these extremists so-called leaders. The hypocrisy. Because the very people who claim to care about the health of women and babies are the same people who do not treat the maternal mortality crisis as the crisis it is. The hypocrisy. In the top 10 states in our country with the highest rates of maternal mortality, you see these bans in effect. The hypocrisy. Just consider over half of the counties in Georgia, Oklahoma, and Texas have no OBGYN. I did not say a few. I said none, not one. So as we clearly see the moment we are in and we are united in this movement, we must also understand the larger context. This fight is not only about the people of one particular state. These extremists plan to take their agenda, national.",0.6025789473684211,0.47139473684210526,0.5142894736842106
Kamala Harris,"So, let’s see the big picture at play here. And, of course, a year after Dobbs, it is clear where this is headed. Extremist Republicans in Congress have proposed to ban abortion nationwide. Nationwide. But I have news for them: We’re not having that. We’re not having that. We’re not standing for that. We won’t let that happen. And, by the way, the majority of Americans are with us. The majority of Americans, I do believe, agree that one does not have to abandon their faith or deeply held beliefs to agree the government should not be telling her what to do with her body. If she chooses, she will talk with her pastor, her priest, her rabbi. But it should not be the government telling her what to do.",0.6276250000000001,0.43200000000000005,0.5740937500000001
Kamala Harris,"And I do believe that the majority of Americans agree that an important attribute of a true leader is the ability to have empathy, to truly have some curiosity and concern and care for the struggles of other people. This having been the approach, by the way, of people from Kentucky to California, voters of every party, who just last year protected reproductive rights.",0.7230526315789473,0.46673684210526306,0.6417894736842104
