Speaker,line,v,a,d
Kamala Harris,"Good afternoon. Good afternoon, Pennsylvania. Good afternoon, everyone. Good afternoon. Bob and Christina, thank you so very much for that introduction and for your friendship. And as I’ve said to all the friends and leaders on the stage with me, we had a chance to speak ahead of time, I thank you all for everything that you are doing and the courage you are showing.",0.8413076923076924,0.4367692307692307,0.5748461538461539
Kamala Harris,"This is an extraordinary climate right now and I think we all recognize the courage that you are each showing to speak out so publicly and to put as we are saying, because we truly believe at country over parity. So thank you all. Can we please applaud Bob and Christina and all of the folks on the stage, please? Thank you. Thank you. Truly, truly, thank you.",0.7891666666666667,0.44566666666666666,0.5916666666666666
Kamala Harris,"So if you all have a seat, please do sit. Yes. So I think everyone here knows we meet in a place that holds a very special meaning for our country. Here on Christmas Night, 1776, General George Washington and over 2,000 troops crossed the icy Delaware river in darkness, then marched to Trenton where they surprised an outpost of enemy soldiers and achieved a major victory in the American Revolution.",0.6897894736842106,0.5317894736842106,0.6484736842105264
Kamala Harris,"And after we won the war and achieved our independence, delegates from across the nation gathered not far from here in Philadelphia, to write and to sign the constitution of the United States. And we remember and reflect on what that moment was, knowing that leading up to that, that work, to write, to compose the constitution of the United States, that work was not easy.",0.661125,0.476375,0.6930624999999999
Kamala Harris,"The founders often disagreed, often quite passionately. But in the end, the constitution of the United States laid out the foundations of our democracy, including the rule of law that there would be checks and balances, that we would have free and fair elections, and a peaceful transfer of power. These principles and traditions have sustained our nation for over two centuries sustained because generations of Americans, from all backgrounds, from all beliefs, have cherished them, upheld them, and defended them. And now the baton is in our hands.",0.6648636363636363,0.38122727272727275,0.6084545454545455
Kamala Harris,"So I am joined today by over 100 Republican leaders from across Pennsylvania and across our country who are supporting my candidacy for president of the United States, and I am deeply honored to have their support. Some served in state houses, some in the United States Congress, some worked for other Republican presidents and presidential nominees including Mitt Romney, John McCain, George W. Bush, George H.W. Bush, and Ronald Reagan. Some today served in Donald Trump’s own administration.",0.6392105263157895,0.4272631578947368,0.6112105263157894
Kamala Harris,"We also have with us republican voters from here in Pennsylvania and beyond who have been active in their Republican parties for years, who have supported Republican candidates up and down the ticket. Now, I say all that to make an obvious point. In a typical election year, you all being here with me, might be a bit surprising, dare I say unusual. But not in this election. Not in this election. Because at stake in this race are the democratic ideals that our founders and generations of Americans before us have fought for. At stake in this election is the constitution of the United States, it very itself. We are here today because we share a core belief that we must put country before party.",0.625,0.436,0.5753636363636363
Kamala Harris,"And so we know that sacred oath must always be honored and never violated, and that we should expect anyone who seeks the highest office in our land would meet that standard. We here know the Constitution is not a relic from our past, but determines whether we are a country where the people can speak freely and even criticize the president without fear of being thrown in jail or targeted by the military, where the people can worship as they choose without the government interfering, where you can vote without fear that your vote will be thrown away. All of this and more depends on whether or not our leaders honor their oath to the constitution.",0.5881500000000001,0.477825,0.6113250000000001
Kamala Harris,"I have sworn an oath to uphold the constitution six times, including as vice president, as the United States Senator, and as the top law enforcement officer of the largest state in our country. I have never wavered from upholding that oath.",0.63,0.439,0.6498571428571428
Kamala Harris,And now Donald Trump is telling us how he intends to use power if he is elected again. He has stated that one of the biggest threats America faces is “the enemy from within.”,0.5321666666666666,0.5451666666666667,0.6246666666666667
Kamala Harris,It is clear Donald Trump is increasingly unstable and unhinged.,0.5546666666666666,0.5433333333333333,0.5403333333333333
Kamala Harris,"So as I’ve mentioned, many of you know I spent a career as a prosecutor in law enforcement, and I will tell you, I never asked a victim or a witness, “Are you a Republican or are you a Democrat?” I never asked of anyone who needed help. If anyone who deserved attention, where were they registered and who did they vote for? The only question I ever asked was, “Are you okay?” And that is the kind of president I pledge to you that I will be. That is my pledge to you, because we have too much to do and too much good work to do, to be relegated, to requiring each of us to be in some silo, disconnected from each other. There’s too much good to be done. And the challenges that we face as a nation require us if we truly want to create solutions and strengthen our nation, the approach truly requires that we understand we’re all in this together.",0.6443428571428571,0.44659999999999994,0.6242571428571428
